=== ALU UNIT TEST REPORT ===
PASS | Op: XOR A: 0x3524 B: 0x5e81 -> Res=0x6ba5 Z=0
PASS | Op: AND A: 0x5663 B: 0x7b0d -> Res=0x5201 Z=0
PASS | Op: SUB A: 0x8465 B: 0x5212 -> Res=0x3253 Z=0
PASS | Op: AND A: 0xcd0d B: 0xf176 -> Res=0xc104 Z=0
PASS | Op: XOR A: 0x57ed B: 0xf78c -> Res=0xa061 Z=0
PASS | Op: XOR A: 0x24c6 B: 0x84c5 -> Res=0xa003 Z=0
PASS | Op: XOR A: 0x7ae8 B: 0x4ec5 -> Res=0x342d Z=0
PASS | Op: ADD A: 0x2120 B: 0x45aa -> Res=0x66ca Z=0
PASS | Op: ADD A: 0x3e96 B: 0xb813 -> Res=0xf6a9 Z=0
PASS | Op: SUB A: 0x4a02 B: 0x3eae -> Res=0xb54 Z=0
PASS | Op: ADD A: 0x72cf B: 0x4923 -> Res=0xbbf2 Z=0
PASS | Op: SUB A: 0xaca B: 0x4c3c -> Res=0xbe8e Z=0
PASS | Op: AND A: 0xf378 B: 0x1289 -> Res=0x1208 Z=0
PASS | Op: SUB A: 0x65b6 B: 0xf9c6 -> Res=0x6bf0 Z=0
PASS | Op: ADD A: 0xbe71 B: 0x4185 -> Res=0xfff6 Z=0
PASS | Op: XOR A: 0x603b B: 0x333a -> Res=0x5301 Z=0
PASS | Op: SUB A: 0x4b15 B: 0x9bf1 -> Res=0xaf24 Z=0
PASS | Op: XOR A: 0x762 B: 0xfb4c -> Res=0xfc2e Z=0
PASS | Op: XOR A: 0x3789 B: 0x3249 -> Res=0x5c0 Z=0
PASS | Op: ADD A: 0xc0d7 B: 0xfc51 -> Res=0xbd28 Z=0
PASS | Op: XOR A: 0x7f0c B: 0xcec2 -> Res=0xb1ce Z=0
PASS | Op: OR A: 0x5a77 B: 0xed3d -> Res=0xff7f Z=0
PASS | Op: OR A: 0x7e B: 0x816d -> Res=0x817f Z=0
PASS | Op: OR A: 0x8f1f B: 0xf6d3 -> Res=0xffdf Z=0
PASS | Op: OR A: 0x8878 B: 0x595b -> Res=0xd97b Z=0
PASS | Op: AND A: 0xae3f B: 0xaf2a -> Res=0xae2a Z=0
PASS | Op: ADD A: 0x3886 B: 0xc8e -> Res=0x4514 Z=0
PASS | Op: ADD A: 0x99fa B: 0xbc26 -> Res=0x5620 Z=0
PASS | Op: XOR A: 0xb4a3 B: 0xa82f -> Res=0x1c8c Z=0
PASS | Op: SUB A: 0x565f B: 0xd44 -> Res=0x491b Z=0
PASS | Op: XOR A: 0x36cb B: 0x1ae6 -> Res=0x2c2d Z=0
PASS | Op: ADD A: 0xc129 B: 0xe2ed -> Res=0xa416 Z=0
PASS | Op: XOR A: 0xb2a B: 0xadab -> Res=0xa681 Z=0
PASS | Op: SUB A: 0x2c3 B: 0xed56 -> Res=0x156d Z=0
PASS | Op: XOR A: 0x7667 B: 0x340a -> Res=0x426d Z=0
PASS | Op: ADD A: 0xbf94 B: 0x5d93 -> Res=0x1d27 Z=0
PASS | Op: XOR A: 0xca59 B: 0x69db -> Res=0xa382 Z=0
PASS | Op: OR A: 0x49ca B: 0x2db6 -> Res=0x6dfe Z=0
PASS | Op: AND A: 0x1a46 B: 0x9b04 -> Res=0x1a04 Z=0
PASS | Op: SUB A: 0x769 B: 0xbab4 -> Res=0x4cb5 Z=0
PASS | Op: ADD A: 0xd928 B: 0x42d -> Res=0xdd55 Z=0
PASS | Op: SUB A: 0x9c2e B: 0xe408 -> Res=0xb826 Z=0
PASS | Op: AND A: 0x99ba B: 0xb35e -> Res=0x911a Z=0
PASS | Op: OR A: 0x6137 B: 0x3796 -> Res=0x77b7 Z=0
PASS | Op: SUB A: 0x9f26 B: 0x1ab6 -> Res=0x8470 Z=0
PASS | Op: OR A: 0xfdc B: 0x5786 -> Res=0x5fde Z=0
PASS | Op: ADD A: 0x917 B: 0x78a1 -> Res=0x81b8 Z=0
PASS | Op: ADD A: 0xb498 B: 0x7b4b -> Res=0x2fe3 Z=0
PASS | Op: XOR A: 0xe6ec B: 0x168a -> Res=0xf066 Z=0
PASS | Op: ADD A: 0x80a8 B: 0xfda9 -> Res=0x7e51 Z=0
PASS | Op: XOR A: 0xb90e B: 0x66e6 -> Res=0xdfe8 Z=0
PASS | Op: OR A: 0xe3c8 B: 0x45ca -> Res=0xe7ca Z=0
PASS | Op: ADD A: 0xc96b B: 0xaec7 -> Res=0x7832 Z=0
PASS | Op: SUB A: 0x9dba B: 0xabc4 -> Res=0xf1f6 Z=0
PASS | Op: SUB A: 0xd392 B: 0x9ab4 -> Res=0x38de Z=0
PASS | Op: AND A: 0x2132 B: 0x5ebd -> Res=0x30 Z=0
PASS | Op: AND A: 0xa4e4 B: 0xcfca -> Res=0x84c0 Z=0
PASS | Op: AND A: 0x1e0b B: 0x90ef -> Res=0x100b Z=0
PASS | Op: XOR A: 0xbf6b B: 0xe788 -> Res=0x58e3 Z=0
PASS | Op: SUB A: 0x819b B: 0x4592 -> Res=0x3c09 Z=0
