=== IMM_GEN UNIT TEST REPORT ===
PASS | Input: 0x524 ImmSrc: 1 -> ext=0x524 lui=0x9000
PASS | Input: 0x609 ImmSrc: 1 -> ext=0x609 lui=0x2400
PASS | Input: 0xb0d ImmSrc: 1 -> ext=0xfb0d lui=0x3400
PASS | Input: 0x465 ImmSrc: 0 -> ext=0xffe5 lui=0x9400
PASS | Input: 0x301 ImmSrc: 1 -> ext=0x301 lui=0x400
PASS | Input: 0x176 ImmSrc: 1 -> ext=0x176 lui=0xd800
PASS | Input: 0x7ed ImmSrc: 0 -> ext=0xffed lui=0xb400
PASS | Input: 0x9f9 ImmSrc: 0 -> ext=0xfff9 lui=0xe400
PASS | Input: 0x4c5 ImmSrc: 0 -> ext=0x5 lui=0x1400
PASS | Input: 0x7e5 ImmSrc: 1 -> ext=0x7e5 lui=0x9400
PASS | Input: 0x612 ImmSrc: 1 -> ext=0x612 lui=0x4800
PASS | Input: 0x9f2 ImmSrc: 0 -> ext=0xfff2 lui=0xc800
PASS | Input: 0xae8 ImmSrc: 1 -> ext=0xfae8 lui=0xa000
PASS | Input: 0x95c ImmSrc: 1 -> ext=0xf95c lui=0x7000
PASS | Input: 0x82d ImmSrc: 1 -> ext=0xf82d lui=0xb400
PASS | Input: 0x263 ImmSrc: 0 -> ext=0xffe3 lui=0x8c00
PASS | Input: 0x280 ImmSrc: 0 -> ext=0x0 lui=0x0
PASS | Input: 0x5aa ImmSrc: 1 -> ext=0x5aa lui=0xa800
PASS | Input: 0xe96 ImmSrc: 1 -> ext=0xfe96 lui=0x5800
PASS | Input: 0x80d ImmSrc: 1 -> ext=0xf80d lui=0x3400
PASS | Input: 0xd6b ImmSrc: 1 -> ext=0xfd6b lui=0xac00
PASS | Input: 0xa02 ImmSrc: 0 -> ext=0x2 lui=0x800
PASS | Input: 0x91d ImmSrc: 1 -> ext=0xf91d lui=0x7400
PASS | Input: 0x923 ImmSrc: 0 -> ext=0xffe3 lui=0x8c00
PASS | Input: 0xaca ImmSrc: 0 -> ext=0xa lui=0x2800
PASS | Input: 0xdf2 ImmSrc: 0 -> ext=0xfff2 lui=0xc800
PASS | Input: 0x341 ImmSrc: 0 -> ext=0x1 lui=0x400
PASS | Input: 0x378 ImmSrc: 1 -> ext=0x378 lui=0xe000
PASS | Input: 0xdeb ImmSrc: 0 -> ext=0xffeb lui=0xac00
PASS | Input: 0x9c6 ImmSrc: 0 -> ext=0x6 lui=0x1800
PASS | Input: 0x2bc ImmSrc: 0 -> ext=0xfffc lui=0xf000
PASS | Input: 0xa0b ImmSrc: 1 -> ext=0xfa0b lui=0x2c00
PASS | Input: 0x185 ImmSrc: 1 -> ext=0x185 lui=0x1400
PASS | Input: 0x3b ImmSrc: 0 -> ext=0xfffb lui=0xec00
PASS | Input: 0x27e ImmSrc: 1 -> ext=0x27e lui=0xf800
PASS | Input: 0xbf1 ImmSrc: 1 -> ext=0xfbf1 lui=0xc400
