=== REG_FILE UNIT TEST REPORT ===
PASS | Read RS1 | addr=4 -> data=0x0
PASS | Read RS2 | addr=1 -> data=0x0
PASS | Read RS1 | addr=5 -> data=0x0
PASS | Read RS2 | addr=2 -> data=0x0
PASS | Read RS1 | addr=5 -> data=0x0
PASS | Read RS2 | addr=4 -> data=0x0
PASS | Read RS1 | addr=5 -> data=0x0
PASS | Read RS2 | addr=7 -> data=0x5663
PASS | Read RS1 | addr=0 -> data=0x0
PASS | Read RS2 | addr=5 -> data=0x0
PASS | Read RS1 | addr=3 -> data=0x0
PASS | Read RS2 | addr=2 -> data=0x0
PASS | Read RS1 | addr=6 -> data=0x0
PASS | Read RS2 | addr=3 -> data=0x0
PASS | Read RS1 | addr=2 -> data=0x0
PASS | Read RS2 | addr=6 -> data=0x0
PASS | Read RS1 | addr=2 -> data=0x618a
PASS | Read RS2 | addr=4 -> data=0x0
PASS | Read RS1 | addr=0 -> data=0x0
PASS | Read RS2 | addr=1 -> data=0x24c6
PASS | Read RS1 | addr=4 -> data=0x0
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=3 -> data=0x0
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=2 -> data=0x618a
PASS | Read RS2 | addr=4 -> data=0x0
PASS | Read RS1 | addr=7 -> data=0x4b15
PASS | Read RS2 | addr=4 -> data=0x0
PASS | Read RS1 | addr=7 -> data=0x4b15
PASS | Read RS2 | addr=1 -> data=0x24c6
PASS | Read RS1 | addr=7 -> data=0x7e
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=7 -> data=0x8878
PASS | Read RS2 | addr=3 -> data=0x3789
PASS | Read RS1 | addr=7 -> data=0x8878
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=2 -> data=0x618a
PASS | Read RS2 | addr=6 -> data=0x0
PASS | Read RS1 | addr=7 -> data=0xb4a3
PASS | Read RS2 | addr=4 -> data=0x0
PASS | Read RS1 | addr=1 -> data=0x24c6
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=1 -> data=0x24c6
PASS | Read RS2 | addr=4 -> data=0x0
PASS | Read RS1 | addr=4 -> data=0x0
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=7 -> data=0xb665
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=4 -> data=0x0
PASS | Read RS2 | addr=3 -> data=0x3789
PASS | Read RS1 | addr=1 -> data=0x24c6
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=6 -> data=0x8a38
PASS | Read RS2 | addr=4 -> data=0x0
PASS | Read RS1 | addr=0 -> data=0x0
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=5 -> data=0x72cf
PASS | Read RS2 | addr=1 -> data=0x24c6
PASS | Read RS1 | addr=6 -> data=0x8a38
PASS | Read RS2 | addr=0 -> data=0x0
PASS | Read RS1 | addr=5 -> data=0x72cf
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=6 -> data=0x8a38
PASS | Read RS2 | addr=6 -> data=0x8a38
PASS | Read RS1 | addr=6 -> data=0x8a38
PASS | Read RS2 | addr=3 -> data=0x3789
PASS | Read RS1 | addr=7 -> data=0x9650
PASS | Read RS2 | addr=1 -> data=0x24c6
PASS | Read RS1 | addr=1 -> data=0x24c6
PASS | Read RS2 | addr=1 -> data=0x24c6
PASS | Read RS1 | addr=4 -> data=0x0
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=6 -> data=0x8a38
PASS | Read RS2 | addr=6 -> data=0x8a38
PASS | Read RS1 | addr=6 -> data=0x8a38
PASS | Read RS2 | addr=0 -> data=0x0
PASS | Read RS1 | addr=3 -> data=0x3789
PASS | Read RS2 | addr=7 -> data=0x80a8
PASS | Read RS1 | addr=2 -> data=0x618a
PASS | Read RS2 | addr=4 -> data=0x0
PASS | Read RS1 | addr=2 -> data=0x618a
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=1 -> data=0x24c6
PASS | Read RS2 | addr=6 -> data=0x8a38
PASS | Read RS1 | addr=6 -> data=0x8a38
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=3 -> data=0x3789
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=6 -> data=0x8a38
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=1 -> data=0x24c6
PASS | Read RS2 | addr=3 -> data=0x3789
PASS | Read RS1 | addr=2 -> data=0x618a
PASS | Read RS2 | addr=4 -> data=0x9d18
PASS | Read RS1 | addr=1 -> data=0xf2b
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=7 -> data=0x1e0b
PASS | Read RS2 | addr=1 -> data=0xf2b
PASS | Read RS1 | addr=4 -> data=0x9d18
PASS | Read RS2 | addr=2 -> data=0x618a
PASS | Read RS1 | addr=3 -> data=0x3789
PASS | Read RS2 | addr=5 -> data=0x72cf
PASS | Read RS1 | addr=7 -> data=0xbbdb
PASS | Read RS2 | addr=1 -> data=0xf2b
PASS | Read RS1 | addr=1 -> data=0xf2b
PASS | Read RS2 | addr=2 -> data=0x2045
PASS | Read RS1 | addr=2 -> data=0x2045
PASS | Read RS2 | addr=6 -> data=0x8a38
PASS | Read RS1 | addr=0 -> data=0x0
PASS | Read RS2 | addr=0 -> data=0x0
PASS | Read RS1 | addr=4 -> data=0x9d18
PASS | Read RS2 | addr=1 -> data=0xf2b
